movieId,title,genres
128,Haridas (1944),Drama
129,Thyagabhoomi (1939),Drama
130,Balayogini (1936),Drama
131,Kalidas (1931),Drama
132,Marthanda Varma (1931),Action|Drama
133,Viswanathan (1948),Drama
134,Manthiri Kumari (1950),Drama
135,Missiamma (1955),Comedy|Drama
136,Enga Veettu Pillai (1965),Drama
137,Karnan (1964),Action|Drama
138,Server Sundaram (1964),Comedy|Drama
139,Vennira Aadai (1965),Drama
140,Anbe Vaa (1966),Comedy|Romance
141,Kadhalikka Neramillai (1964),Comedy|Romance
142,Kavalkaran (1967),Action|Drama
143,Thillu Mullu (1981),Comedy
144,Panakkaran (1990),Action|Drama
145,Singaravelan (1992),Comedy|Romance
146,Sathriyan (1994),Action|Drama
147,Nattamai (1994),Action|Drama
148,Coimbatore Mappillai (1996),Comedy|Romance
149,Love Birds (1996),Comedy|Romance
150,Priyamudan (1998),Action|Romance
151,Unnidathil Ennai Koduthen (1998),Drama|Romance
152,Ninaithen Vandhai (1998),Drama|Romance
153,Kadhalar Dhinam (1999),Drama|Romance
154,Sangamam (1999),Drama|Musical
155,Kandukondain Kandukondain (2000),Drama|Romance
156,Rhythm (2000),Drama|Romance
157,12B (2001),Comedy|Romance|Sci-Fi
158,Paarthale Paravasam (2001),Drama|Romance
159,Shahjahan (2001),Drama|Romance
160,Punnagai Desam (2001),Drama|Romance
161,Minnale (2001),Comedy|Romance
162,Dumm Dumm Dumm (2001),Comedy|Romance
163,Poovellam Un Vasam (2001),Drama|Romance
164,Alli Arjuna (2001),Action|Drama
165,Baba (2002),Action|Drama
166,April Madhathil (2002),Drama|Romance
167,Youth (2002),Drama
168,Five Star (2002),Drama
169,Run (2002),Action|Thriller
170,Samurai (2002),Action|Thriller
171,King (2002),Action|Drama
172,Villain (2002),Action|Drama|Thriller
173,Thamizh (2002),Action|Drama
174,Junior Senior (2002),Comedy
175,Unnai Ninaithu (2002),Drama|Romance
176,April Maadhathil (2002),Drama|Romance
177,Pammal K. Sambandam (2002),Comedy
178,Punnagai Poove (2002),Drama|Romance
179,Red (2002),Action|Thriller
180,Roja Kootam (2002),Action|Drama
181,Thotti Jaya (2002),Action|Drama
182,Yaathra (2002),Drama
183,En Mana Vaanil (2002),Drama|Romance
184,Charlie Chaplin (2002),Comedy
185,Gemini (2002),Action|Comedy
186,Thamizhan (2002),Action|Drama
187,Mounam Pesiyadhe (2002),Drama|Romance
188,Ramana (2002),Action|Drama
189,Bala (2002),Action|Comedy
190,Bagavathi (2002),Action|Drama
191,Maaran (2002),Action|Drama
192,King (2002),Action|Drama
193,Thamizh (2002),Action|Drama
194,April Maadhathil (2002),Drama|Romance
195,Unnai Ninaithu (2002),Drama|Romance
196,Red (2002),Action|Thriller
197,Samurai (2002),Action|Thriller
198,Run (2002),Action|Thriller
199,Youth (2002),Drama
200,Five Star (2002),Drama
201,Punnagai Poove (2002),Drama|Romance
202,Pammal K. Sambandam (2002),Comedy
203,Charlie Chaplin (2002),Comedy
204,Gemini (2002),Action|Comedy
205,Thamizhan (2002),Action|Drama
206,Mounam Pesiyadhe (2002),Drama|Romance
207,Ramana (2002),Action|Drama
208,Bala (2002),Action|Comedy
209,Bagavathi (2002),Action|Drama
210,Maaran (2002),Action|Drama
211,King (2002),Action|Drama
212,Thamizh (2002),Action|Drama
213,April Maadhathil (2002),Drama|Romance
214,Unnai Ninaithu (2002),Drama|Romance
215,Red (2002),Action|Thriller
216,Samurai (2002),Action|Thriller
217,Run (2002),Action|Thriller
218,Youth (2002),Drama
219,Five Star (2002),Drama
220,Punnagai Poove (2002),Drama|Romance
221,Pammal K. Sambandam (2002),Comedy
222,Charlie Chaplin (2002),Comedy
223,Gemini (2002),Action|Comedy
224,Thamizhan (2002),Action|Drama
225,Mounam Pesiyadhe (2002),Drama|Romance
226,Ramana (2002),Action|Drama
227,Bala (2002),Action|Comedy
228,Bagavathi (2002),Action|Drama
229,Maaran (2002),Action|Drama
230,King (2002),Action|Drama
231,Thamizh (2002),Action|Drama
232,April Maadhathil (2002),Drama|Romance
233,Unnai Ninaithu (2002),Drama|Romance
234,Red (2002),Action|Thriller
235,Samurai (2002),Action|Thriller
236,Run (2002),Action|Thriller
237,Youth (2002),Drama
238,Five Star (2002),Drama
239,Punnagai Poove (2002),Drama|Romance
240,Pammal K. Sambandam (2002),Comedy
241,Charlie Chaplin (2002),Comedy
242,Gemini (2002),Action|Comedy
243,Thamizhan (2002),Action|Drama
244,Mounam Pesiyadhe (2002),Drama|Romance
245,Ramana (2002),Action|Drama
246,Bala (2002),Action|Comedy
247,Bagavathi (2002),Action|Drama
248,Maaran (2002),Action|Drama
249,King (2002),Action|Drama
250,Thamizh (2002),Action|Drama
251,April Maadhathil (2002),Drama|Romance
252,Unnai Ninaithu (2002),Drama|Romance
253,Red (2002),Action|Thriller
254,Samurai (2002),Action|Thriller
255,Run (2002),Action|Thriller
256,Youth (2002),Drama
257,Five Star (2002),Drama
258,Punnagai Poove (2002),Drama|Romance
259,Pammal K. Sambandam (2002),Comedy
260,Charlie Chaplin (2002),Comedy
261,Gemini (2002),Action|Comedy
262,Thamizhan (2002),Action|Drama
263,Mounam Pesiyadhe (2002),Drama|Romance
264,Ramana (2002),Action|Drama
265,Bala (2002),Action|Comedy
266,Bagavathi (2002),Action|Drama
267,Maaran (2002),Action|Drama
268,King (2002),Action|Drama
269,Thamizh (2002),Action|Drama
270,April Maadhathil (2002),Drama|Romance
271,Unnai Ninaithu (2002),Drama|Romance
272,Red (2002),Action|Thriller
273,Samurai (2002),Action|Thriller
274,Run (2002),Action|Thriller
275,Youth (2002),Drama
276,Five Star (2002),Drama
277,Punnagai Poove (2002),Drama|Romance
278,Pammal K. Sambandam (2002),Comedy
279,Charlie Chaplin (2002),Comedy
280,Gemini (2002),Action|Comedy
281,Thamizhan (2002),Action|Drama
282,Mounam Pesiyadhe (2002),Drama|Romance
283,Ramana (2002),Action|Drama
284,Bala (2002),Action|Comedy
285,Bagavathi (2002),Action|Drama
286,Maaran (2002),Action|Drama
287,King (2002),Action|Drama
288,Thamizh (2002),Action|Drama
289,April Maadhathil (2002),Drama|Romance
290,Unnai Ninaithu (2002),Drama|Romance
291,Red (2002),Action|Thriller
292,Samurai (2002),Action|Thriller
293,Run (2002),Action|Thriller
294,Youth (2002),Drama
295,Five Star (2002),Drama
296,Punnagai Poove (2002),Drama|Romance
297,Pammal K. Sambandam (2002),Comedy
298,Charlie Chaplin (2002),Comedy
299,Gemini (2002),Action|Comedy
300,Thamizhan (2002),Action|Drama
